hotspot_cluster,city,state,hotspot_level,hotspot_score,priority,recommendation,recommendation_reason
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 92.71, classified as Critical Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 9 High/Critical risk accidents and 2 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 7 fatal accidents out of 29 records.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 66.43, classified as High Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 34 records.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 64.44, classified as High Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 7 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 5 fatal accidents out of 23 records.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 60.44, classified as High Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 6 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 28 records.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 57.33, classified as High Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 7 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 3 fatal accidents out of 24 records.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 54.06, classified as High Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 8 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 2 fatal accidents out of 23 records.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 53.62, classified as High Risk Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,Increase targeted enforcement and monitoring at this hotspot.,This hotspot contains 5 High/Critical risk accidents and 0 Critical risk accidents; upper-quartile thresholds are 5.00 and 0.00.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,High,"Review speed control, road design, and emergency response coverage near this hotspot.",The hotspot contains 5 fatal accidents out of 20 records.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,High,Prioritize this hotspot for targeted road-safety intervention.,"Hotspot score is 39.93, classified as Moderate Hotspot; the dataset-derived upper-quartile score threshold is 34.36."
